,Duration (in seconds),RecordedDate,ResponseId,Q3,Q1,Q4,Q5,Q5_7_TEXT,Q10,Q11,Q11_4_TEXT,Q14,Q16,Q18,Q19,Q20,Q20_10_TEXT,Q24,Q25,Q47,Q48,Q20#1_1_1,Q20#1_1_2,Q20#1_1_3,Q20#1_1_4,Q20#1_2_1,Q20#1_2_2,Q20#1_2_3,Q20#1_2_4,Q20#1_3_1,Q20#1_3_2,Q20#1_3_3,Q20#1_3_4,Q20#1_4_1,Q20#1_4_2,Q20#1_4_3,Q20#1_4_4,Q20#1_5_1,Q20#1_5_2,Q20#1_5_3,Q20#1_5_4,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#3_1,Q20#3_2,Q20#3_3,Q20#3_4,Q20#3_5,Q29,Q49,Q41#1_1_1,Q41#1_1_2,Q41#1_1_3,Q41#1_1_4,Q41#1_2_1,Q41#1_2_2,Q41#1_2_3,Q41#1_2_4,Q41#1_3_1,Q41#1_3_2,Q41#1_3_3,Q41#1_3_4,Q41#1_4_1,Q41#1_4_2,Q41#1_4_3,Q41#1_4_4,Q41#1_5_1,Q41#1_5_2,Q41#1_5_3,Q41#1_5_4,Q41#2_1,Q41#2_2,Q41#2_3,Q41#2_4,Q41#2_5,Q41#3_1,Q41#3_2,Q41#3_3,Q41#3_4,Q41#3_5,Q30,Q50,Q45#1_1_1,Q45#1_1_2,Q45#1_1_3,Q45#1_1_4,Q45#1_2_1,Q45#1_2_2,Q45#1_2_3,Q45#1_2_4,Q45#1_3_1,Q45#1_3_2,Q45#1_3_3,Q45#1_3_4,Q45#1_4_1,Q45#1_4_2,Q45#1_4_3,Q45#1_4_4,Q45#1_5_1,Q45#1_5_2,Q45#1_5_3,Q45#1_5_4,Q45#2_1,Q45#2_2,Q45#2_3,Q45#2_4,Q45#2_5,Q45#3_1,Q45#3_2,Q45#3_3,Q45#3_4,Q45#3_5,Q46,Q51,Q48#1_1_1,Q48#1_1_2,Q48#1_1_3,Q48#1_1_4,Q48#1_2_1,Q48#1_2_2,Q48#1_2_3,Q48#1_2_4,Q48#1_3_1,Q48#1_3_2,Q48#1_3_3,Q48#1_3_4,Q48#1_4_1,Q48#1_4_2,Q48#1_4_3,Q48#1_4_4,Q48#1_5_1,Q48#1_5_2,Q48#1_5_3,Q48#1_5_4,Q48#2_1,Q48#2_2,Q48#2_3,Q48#2_4,Q48#2_5,Q48#3_1,Q48#3_2,Q48#3_3,Q48#3_4,Q48#3_5,Q49.1,Q52,Q51#1_1_1,Q51#1_1_2,Q51#1_1_3,Q51#1_1_4,Q51#1_2_1,Q51#1_2_2,Q51#1_2_3,Q51#1_2_4,Q51#1_3_1,Q51#1_3_2,Q51#1_3_3,Q51#1_3_4,Q51#1_4_1,Q51#1_4_2,Q51#1_4_3,Q51#1_4_4,Q51#1_5_1,Q51#1_5_2,Q51#1_5_3,Q51#1_5_4,Q51#2_1,Q51#2_2,Q51#2_3,Q51#2_4,Q51#2_5,Q51#3_1,Q51#3_2,Q51#3_3,Q51#3_4,Q51#3_5,Q52.1,Q53,Q54#1_1_1,Q54#1_1_2,Q54#1_1_3,Q54#1_1_4,Q54#1_2_1,Q54#1_2_2,Q54#1_2_3,Q54#1_2_4,Q54#1_3_1,Q54#1_3_2,Q54#1_3_3,Q54#1_3_4,Q54#1_4_1,Q54#1_4_2,Q54#1_4_3,Q54#1_4_4,Q54#1_5_1,Q54#1_5_2,Q54#1_5_3,Q54#1_5_4,Q54#2_1,Q54#2_2,Q54#2_3,Q54#2_4,Q54#2_5,Q54#3_1,Q54#3_2,Q54#3_3,Q54#3_4,Q54#3_5,Q55,Q54,Q57#1_1_1,Q57#1_1_2,Q57#1_1_3,Q57#1_1_4,Q57#1_2_1,Q57#1_2_2,Q57#1_2_3,Q57#1_2_4,Q57#1_3_1,Q57#1_3_2,Q57#1_3_3,Q57#1_3_4,Q57#1_4_1,Q57#1_4_2,Q57#1_4_3,Q57#1_4_4,Q57#1_5_1,Q57#1_5_2,Q57#1_5_3,Q57#1_5_4,Q57#2_1,Q57#2_2,Q57#2_3,Q57#2_4,Q57#2_5,Q57#3_1,Q57#3_2,Q57#3_3,Q57#3_4,Q57#3_5,Q58,Q56
12,13,2025-09-19 09:02:38,R_2v816nxNJtw69hu,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1033,2025-09-20 05:29:10,R_8rid6Aiv4sOl6JB,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,23,Male,,netherlands,Dutch english german,Most of the time,Moderately stressful,"Exercise / Play sports,Listen to music,Use social media",,Often,Mainly or exclusively self-selected,Forget bout stress or the problems,Yes,Eeo,Bad bunny,,,Stop playing with me,Tyler the creator,,,Big poe,Tyler the creator,,,Sungs for liam,Kraftklub,,,Nuevayol,Bad bunny,,,,,,,,,,,,,Somewhat easy,Yes,Fokak meni,Lella fada,,,Obstaculo,Tainy,,,Doa ,Rich brian,,,Sorry not sorry,Tyler the creator,,,Dna,Kendrick lamar,,,,,,,,,,,,,Neither easy nor difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Humble,Kendrick lamar,,,Top playing with me,Tyler the creator,,,Mommamem,Tyler the creator,,,16 ,Baby keem,,,Melt session,Denzel curry,,,,,,,,,,,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,New magicwand,Tyler the creator,,,Washed up,Sharktank,,,Alambre pua,Bad bunny,,,Like him,Tyler the creator,,,Father time,Kendrixk lamar,,,,,,,,,,,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hewwo uwu
14,1266,2025-09-20 05:57:46,R_2HOcWQ0Ao3rvWQl,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,22,Non-binary / third gender,,The Netherlands,"Dutch, English",Most of the time,Very stressful,"Listen to music,Practice mindfulness / Meditation,Sleep / Nap,Consume food and/or non-alcoholic beverages",,Often,Equally self-selected and selected by another source,It makes me feel more at ease/understood. ,Yes,You spent all your love,Mega Mango,https://open.spotify.com/track/58i5wpN3tZUjHv5qHIAmus?si=aca83bd1c23b4718,,Bad Man,FIGHTMASTER,https://open.spotify.com/track/6tgvaWyhOnh3eAWJpsCY4B?si=0469c6617d5847ac,,I don't know you like I used to,mercury,https://open.spotify.com/track/2Pc89ZBdas5FqLAB3JOILo?si=e02e0ecf324d42ba,,Love my way,The Phsychadelic Furs,https://open.spotify.com/track/4dk40nfaQav6b4ZsJ9OYUo?si=d0d0e16539294142,,moved along,wilt,https://open.spotify.com/track/3CZZnpgvHNR71M4QnkQjzl?si=014e54a0816c473e,,Yes,Yes,Yes,Yes,Yes,,,,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,My dearest friend and enemy,Tamino,,,I drink wine,Adele,,,View from this side,Maple Glider,https://open.spotify.com/track/6FziMRvxYlqjTuD3YbFD31?si=4cbfdc8ac7094fdb,,Wolves,Jensen McRae,https://open.spotify.com/track/6QZAJJdg5X0AenfwAWZzjS?si=7c8bb9ea63524b95,,Time comes in roses,Bess Atwell,https://open.spotify.com/track/3TI83GvDhveHJFtOwcHdrg?si=24d29af344bc40cb,,No,No,Yes,No,Yes,,,,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,My Mind,Yebba,https://open.spotify.com/track/4QNPS79DeAUoSYmBynfWTN?si=f9cfd07833c44129,,I drink wine,Adele,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A?si=e49532d15bca479d,,The Joke,Brandi ,https://open.spotify.com/track/18k8IlS52uxRWObykDUZFG?si=bbefc8af0fcf4b2d,,Snow Angel,Renee Rapp,https://open.spotify.com/track/6skUuqrKMQIjjo75hWGAvQ?si=7f25c72d2e824d6c,,I need your body ,Brooke Bentham,https://open.spotify.com/track/2haJphBUZLD5MpFB8KkCsF?si=61b28fe5d8284dbe,,Yes,No,No,No,Yes,,,,,,Neither easy nor difficult,Yes,complex (demo),Katie Gregson-MacLeod,https://open.spotify.com/track/1ovZe7upcqycTuPFfOg6kB?si=c577faf4cc444300,,I drink wine,Adele,,,Friend,Maple Glider,https://open.spotify.com/track/1O00a7AxVVYayBmZyM48S1?si=215ca0510ee64bc9,,Deny me,Grace Gardner,https://open.spotify.com/track/3PYMrsmgHQfLmXeqeEhY0k?si=f76385232a964ce8,,My dearest friend and enemy,Tamino,,,Yes,No,No,No,No,,,,,,Somewhat difficult,Yes,Pushing it down and praying,Lizzy McAlpine,https://open.spotify.com/track/0Exki6SgSuYfWQDP0npFlF?si=dd5a2c1d27ac4ccc,,I drink wine,Adele,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A?si=22e73ea961854583,,Under the tree,Victoria Bigelow,https://open.spotify.com/track/5k8KgN50j3XtvIdHIEgiqO?si=5e4d305c0f074a47,,My vine,Wasia Project ,https://open.spotify.com/track/5qijmwAZOkz18fJ1Wu5mY1?si=f308676c0de4484c,,My dearest friend and enemy,Tamino,https://open.spotify.com/track/0vFdt1wVO1tLROMapHbGK2?si=242893d3f0384d76,,Yes,No,No,No,No,Yes,Yes,,,Yes,Somewhat easy,"I'm not sure whether this is relevant, but while studying or cooking or chilling, but not stressed, I also listen to more neo-soul type music, but if I need to be in my feels that's not the genre I go for. "
15,21,2025-09-20 11:09:29,R_9suFCZEGmShCIv2,Yes,Yes,No,High school (Dutch: Middelbare school),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2500,2025-09-20 12:41:53,R_8EhUjQrkmBRTASs,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,22,Female,,United Kingdom,"English, Russian, Spanish",Sometimes,Slightly stressful,"Talk to someone,Listen to music,Use social media,Consume food and/or non-alcoholic beverages,Use substances (incl. alcohol)",,Often,Mainly or exclusively self-selected,The music helps distract me from what I am stressed about and calms down my mind. It can also reassure me that I don’t need to be so stressed and that I can achieve what I am trying to do. Sometimes I choose songs which have lyrics or instrumentals that will motivate me and other times I choose songs with lyrics or instrumentals that reflect how I am feeling. ,Yes,Third Coast,Teezo Touchdown,https://youtu.be/-8cYlLzuYOo?si=JPdqkL-OzqvW4FDZ,it’s just so fun you can’t stop the beat,Bon Bon,Fcukers,https://youtu.be/lUnpIO-OTx0?si=idCyWO0PWRq6BWYL,,Let’s Pretend We’re Married,Prince,https://youtu.be/vi0zWIKC5gM?si=cYxXx2ksjalscUip,Reminds me of fun summery times with friends and makes me want to hop up and dance,Oh Qué Será?,Willie Colon,https://youtu.be/qoNrcSFZbWg?si=5LuuevT2aEL0CK5T,,,,,,Yes,Yes,Yes,Yes,,No,No,No,No,,Somewhat easy,Yes,BABY BABY,Nourished By Time,https://youtu.be/K8Gie2MjRMk?si=VW3c1kjmm4OZOueS,,Teen Age Riot,Sonic Youth,https://youtu.be/10rLJjBLQZ8?si=RMMydPKKDdeqHEm4,The song’s energy floods into me,Spring Rain,Silvetti,https://youtu.be/SMb2vm80R1s?si=fzKIViTBQn65RdTU,,,,,,,,,,Yes,Yes,Yes,,,No,No,There are no lyrics,,,Somewhat easy,Yes,By Starlight,Smashing Pumpkins,https://youtu.be/GD7yr5El2vU?si=ioxJF14tWCptCu42,,I Want,Mk.gee,https://youtu.be/ZXVCmYWCOwI?si=becZjuGEy_nEOUKD,,One Place,Everything But The Girl,https://youtu.be/wLWHfBA90-w?si=C3bvfEjWxcIAPCap,,This Is The Day,The The,https://youtu.be/7ZYgKCbFbWY?si=_-Ds-3qXM8cd2QuM,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Somewhat easy,Yes,Rockin’ That Shit,The-dream,https://youtu.be/dtxth_aj450?si=Q5mhXAwXltc-AZmC,"It is so random and funny that it puts a smile on my face every time. I also found it from an instagram clip of a guy dancing to this song and taking of his t-shirt, so that visual helps to distract me as well. ",,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Somewhat easy,Yes,Sick,James Ivy,https://youtu.be/Ap5-GONhS_A?si=Jn9mmZ86AfFv3haM,,Joderse La Vida,Carolina Durante,https://youtu.be/slIENtNoPPE?si=wpC03Fqx6qd82p7l,"The lyrics say that messing up your life is more fun, so it makes me feel that even if I mess up then it is fine",U Should Not Be Doing That,Amyl and The Sniffers,https://youtu.be/jCxgUPFVFkA?si=YqqiWsUNvDxSL0Dw,The frustration in the lyrics is relatable,,,,,,,,,No,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat easy,Yes,The River,Michael Farneti,https://youtu.be/_A3Avc5jyp4?si=JBzF7R3Q3re71rbc,,Yes I’m Changing,Tame Impala,https://youtu.be/D_cMCvudZBs?si=bi3B2APbOYBJIaO-,,Voyager,Kevin Abstract,https://youtu.be/tizPIhAexE0?si=eTTH_xzFbHfCHLiK,,,,,,,,,,Yes,No,No,,,Yes,Yes,Yes,,,Somewhat easy,Yes,Sick,James Ivy,,,0$,Cameron Winter,https://youtu.be/BUiUWyRfBeM?si=bxF7Q-WTOwbhfbHS,Cameron’s a weird and stressed guy so listening to him makes me feel like I’m not the only weird and stressed person out there,,,,,,,,,,,,,No,Yes,,,,Yes,Yes,,,,Somewhat difficult,
17,2090,2025-09-20 13:20:06,R_2HYcwD0mQCVN8jJ,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,22,Male,,Germany,"English, Russian, Belarusian, Japanese",Sometimes,Very stressful,"Talk to someone,Listen to music,Use social media,Consume food and/or non-alcoholic beverages",,Often,Mainly or exclusively self-selected,"It helps me to live through the emotions 'better' once I find a piece that is similar to the mood I am currently experiencing, 'aggravating' effect if you may. Otherwise, sometimes it helps to reminisce, either to tie the current situation to certain periods in life when I felt something similar, or generally to remember the times associated with a specific song/album. I cannot say that I am fully relaxed in the end if I am too stressed, but rather feel more connected to what is currently happening.

There are times, of course, when I just feel too overwhelmed to listen to anything, but certain ASMR content (even something as simple as white noise) helps me to ground myself.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,MIA,Katseye,https://youtu.be/YH6YPPE56RQ?si=rzfPl3C_mufG__Ep,Just catchy,GANG,Ayesha Erotica,https://youtu.be/GCcIDhxKXx0?si=3x6bV-0m5FDaduGK,Fucks my ears,Moon Halo,"茶理理, TetraCalyx, Hanser",https://youtu.be/xREK6gZxYLQ?si=lUSkq2rFVadONrNu,Associates with a sad moment in the game,,,,,,,,,Yes,Yes,Yes,,,No,Yes,No,,,Somewhat difficult,Yes,푸른 흔적 (Blue Trace),Messgram,https://youtu.be/ZFUaGYMwoOE?si=TVWblvAQH2CxvfQQ,,lie,"забей, лерочка",https://youtu.be/u5SnIxdza-Q?si=IXwRMr7l725RRpjr,"Reminds me of 2020-2021, felt good",,,,,,,,,,,,,Yes,No,,,,No,Yes,,,,Neither easy nor difficult,Yes,Nightglow,Tanya Chua  (崩坏3印象曲),https://youtu.be/9eBEix_Ltrw?si=PSKpsZjM1FtPaKwP,,Хор Александро-Свирского монастыря (The Choir of the Alexander Svir Monastery),-,https://youtu.be/qI2yPR9pLEc?si=SGq4Az9PxKfD30h8,Strong voices,Proi Proi,NIDA,https://youtu.be/loWA5o1RdTY?si=D_8oVg3Kwf0g6brw,,,,,,,,,,Yes,No,Yes,,,Yes,No,No,,,Somewhat difficult,Yes,Cure for ADHD - 30 min of Breakcore!,Reizoko Cj,https://youtu.be/DDFNgs7gp8M?si=ln2tBXo9rfSRYgg6,"This one is a mix, cannot pinpoint any specific song, but I would say it just helps me to let go of whatever I feel, to muffle my thoughts figuratively speaking",Планетарий (Planetarium)),sqwore,https://www.youtube.com/watch?v=6eibF2JWvkk,"A little bit of loud, a little bit of calm",Curse,Elicea ,https://www.youtube.com/watch?v=OuIxKAhCeyg,"Watched a lot of depressive Nana edits with this song, good times",,,,,,,,,Yes,Yes,Yes,,,There are no lyrics,No,No,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,747,2025-09-20 14:02:11,R_20rEsSW9Ovvo74J,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,25,Male,,Netherlands ,"Polish, English ",Sometimes,Moderately stressful,"Exercise / Play sports,Consume food and/or non-alcoholic beverages",,Sometimes,Mainly or exclusively self-selected,"I listen to fast music because it fits with my mood, idk if it is helping but it fits how I feel",Yes,Mrs. Robinson ,Simon & Garfunkel ,https://open.spotify.com/track/0iOZM63lendWRTTeKhZBSC?si=-IshM2vZQ5i8nJ3iIdSYog,,breakfast in America ,superstamp,https://open.spotify.com/track/4a5pNRjwmzYQuEY1E7O6pj?si=mv6gwxidSdOFzEsdeRkcpQ,,vademecum skauta,lady punk,https://open.spotify.com/track/1uGqmg6bl4sAp1CQc2zF1j?si=8oe45p0oTHmlyFhBT2YbQw,,,,,,,,,,No,No,Yes,,,Yes,Yes,Yes,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Krowodrza ,ćpaj stajl,https://open.spotify.com/track/7n5swsuLdt46dVbL14oNnW?si=vuw9zo6rQs63HhWGNIG42g,,Greeze Mode,skepta,https://open.spotify.com/track/3nG784YlxS4VQOF0qiHKVP?si=WNSKgCVTRSicjOOdXx9u_w,,w gorącej wodzie kąpany ,rów babicze,https://open.spotify.com/track/6RL09jLWzXpMaWUKU0aenO?si=Sdok6XI1RmOwLR2WFtoUGw,,,,,,,,,,Yes,Yes,Yes,,,Yes,No,Yes,,,Somewhat difficult,Yes,muszę się wyszumieć,ćpaj stajl,https://open.spotify.com/track/0AJsRqHxb8keXe2bJVYGqq?si=Tt_nSFtvSkGfZ8SD2-xQ5Q,,biznes ,jan-rapowanie,https://open.spotify.com/track/4cI4UJf0z14rwM4IYlwVFF?si=lZrUf_WxSCGM4l_qWDy7xQ,,za liną ,każ bałagane,https://open.spotify.com/track/4CpuEw3DbnHZSd3LSRrGAJ?si=UkkLwhVBTumqe8MUglD6xQ,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My answers make my completely anonymous ; ) good luck!
19,1084,2025-09-21 02:40:24,R_28Tf4yRm44ixc8J,Yes,Yes,Yes,University of applied sciences (Dutch: HBO),,23,Male,,Netherlands,English and Dutch,Sometimes,Moderately stressful,"Play games,Consume food and/or non-alcoholic beverages,Use substances (incl. alcohol)",,Sometimes,Mainly or exclusively self-selected,"When I come back from my studies, I’m sometimes pretty stressed and irritated about things I don’t understand yet, things that are still unclear, or classmates who don’t have their stuff together. That’s when I like to put on some angry, rage-type music and just scream along. It lets me blow off steam without taking it out on my project partners.",Yes,Succesful,Ariana Grande,,,Cornelia Street,Taylor Swift,,,Surprise Surprise,Cila Black,,,Words (Feat. Zara Larson),"Alesso, Zara Larson",,,Electric - Pokemon 25 version,Katy Perry,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Somewhat easy,Yes,Glue,BICEP,,,Lithium,Odd Mob,,,Mercury,"HI-LO, Space 92, Oliver",,,,,,,,,,,Yes,No,Yes,,,There are no lyrics,There are no lyrics,There are no lyrics,,,Neither easy nor difficult,Yes,Guess,Charli xcx,,,Boost up,"Fischer, flowdan",,,Clique,YONAKA,,,I did something bad,Taylor Swift,,,Wait a minute,WILLOW,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Somewhat easy,Yes,The Alchemy,Taylor swift,,,Echo,Olivia Dean,,,Solar Power,Lorde,,,Vogue,Noizu,,,Cutie,COIN,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Who's gonna be the GOAT?,De Staat,,,Witch Doctor,De Staat,,,Vitamins,Qveen Herby,,,Paint the town blue,"Ashnikko, Arcane",,,Gratitude,Londrelle,,,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Somewhat easy,Yes,You are enough (Meditation),"Londrelle, Dani Fanning",,,,,,,,,,,,,,,,,,,No,,,,,Yes,,,,,Extremely difficult,
20,719,2025-09-21 04:03:41,R_4lLXShteMUjWgMW,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,24,Male,,Japan,"Japanese, English, Korean ",Rarely,Not at all stressful,"Talk to someone,Exercise / Play sports,Listen to music,Use social media,Consume food and/or non-alcoholic beverages",,Sometimes,Equally self-selected and selected by another source,,Yes,Bravo my life,Ssaw,,,Running on the sky,Lee juck,,,Basketcase,Green day,,,Mr brightside,The killers,,,Dani California ,Red hot chili peppers,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Neither easy nor difficult,Yes,Stay alive,Jose gonzalez,,,Swing swing,The all-american rejects,,,Better together ,Jack Johnson ,,,When you were young,The killers,,,Into yesterday ,Sugar ray,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Neither easy nor difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,870,2025-09-21 05:13:14,R_82G8YEIvepM1XoE,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,20,Male,,United States,English,Sometimes,Moderately stressful,"Talk to someone,Exercise / Play sports,Listen to music,Practice mindfulness / Meditation,Sleep / Nap,Consume food and/or non-alcoholic beverages",,Sometimes,Mainly or exclusively self-selected,"As a musician, when I listen to music I can focus on the different compositional elements, lyrics, song structure etc. This helps me to focus my thoughts on one thing rather than being overwhelmed by many thoughts of school and life. Music that I really like can help me to process my emotions as well, especially when they are reflected in the lyrics or tone of the song.",Yes,Tokyo Reggie,Masayoshi Takanaka,,,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Somewhat easy,Yes,Move On Up,Curtis Mayfield,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Somewhat easy,Yes,Six Months in a Leaky Boat,Split Enz,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Extremely easy,Yes,Honey,Vacations,,,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Neither easy nor difficult,Yes,Hard to Explain,The Strokes,,,Missus Morality,Bar Italia,,,Crazy Race,The RH Factor,,,Heaven Knows I’m Miserable Now,The Smiths,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Extremely easy,Yes,Missus Morality,Bar Italia,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Extremely easy,Yes,We Close Our Eyes,Oingo Boingo,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Somewhat easy,
22,336,2025-09-22 00:56:59,R_21z3ZUaMI8iq64h,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,23,Male,,The Netherlands,"English, Dutch",Rarely,Slightly stressful,"Use social media,Consume food and/or non-alcoholic beverages,Other(s):",nail biting,Never,Mainly or exclusively self-selected,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
