,song_name,artist,url,track_id,description,listen_in_non_stress_regulating_setting,lyrics_is_a_important_part,response_id,strategy
507,Wraith Pinned to the Mist and Other Games ,of Montreal,https://open.spotify.com/track/0Ensfv1iBDcsOF6xNok14N,0Ensfv1iBDcsOF6xNok14N,I love listening to this when I go on a run which helps me with stress,Yes,,R_2Lp20qjXqfa7pVi,discharge
732,Pushing it down and praying,Lizzy McAlpine,https://open.spotify.com/track/0Exki6SgSuYfWQDP0npFlF,0Exki6SgSuYfWQDP0npFlF,,Yes,Yes,R_2HOcWQ0Ao3rvWQl,solace
414,Emotional,Only the poets,https://open.spotify.com/track/0F6ZWg3EcmMpE9n7N1j12J,0F6ZWg3EcmMpE9n7N1j12J,Hyped song,Yes,Yes,R_8G9joOmkzQ63Thf,diversion
670,I Fall In Love Too Easily,Chet Baker,https://open.spotify.com/track/0F845nujLVqCb0XMZCh5Pc,0F845nujLVqCb0XMZCh5Pc,Chet Baker in general is very soothing and reminds me of good times,Yes,No,R_2LXRHlBulGggcW0,mental_work
660,Im God,Clams Casino and Imogen Heap,https://open.spotify.com/track/0FVuyC9RP5MACjp4lgU3qZ,0FVuyC9RP5MACjp4lgU3qZ,,,,R_8jQb1p8fPposCOe,mental_work
309,Bury the Light,Casey Edwards,https://open.spotify.com/track/0FcS0Cpz3tK1DLXIzr6iL2,0FcS0Cpz3tK1DLXIzr6iL2,,Yes,No,R_2e9qeeiYw9MaePm,strong_sensation
623,Catharsis,AlicebanD,https://open.spotify.com/track/0GELyRjqIrjkqA53BL9Tov,0GELyRjqIrjkqA53BL9Tov,,No,Yes,R_2e9qeeiYw9MaePm,discharge
338,Pest,Vylet Pony,https://open.spotify.com/track/0GZTJXJGQwRqKz5sO5WsAz,0GZTJXJGQwRqKz5sO5WsAz,,Yes,Yes,R_2e9qeeiYw9MaePm,strong_sensation
44,Idea 5 (Call My Name),"Kokoroko, LULU.",https://open.spotify.com/track/0H9K4Ul9aFjf2RV14K5Xzf,0H9K4Ul9aFjf2RV14K5Xzf,"I love to listen to this song on a walk, when I need to organize my thoughts.",Yes,No,R_8wt2bq6XlrxNtUi,mental_work
586,XO / The Host,The Weeknd,https://open.spotify.com/track/0Hs5enNuaAXmJssAybWbOw,0Hs5enNuaAXmJssAybWbOw,,Yes,No,R_8VqM9C6HA45xC9p,discharge
269,Ze huilt maar ze lacht,Maan,https://open.spotify.com/track/0JWaEkQmU8oaSukOBCbrJC,0JWaEkQmU8oaSukOBCbrJC,,No,Yes,R_81gjW2Qe56Wo6Ye,solace
257,Porque não eu,kid abelha,https://open.spotify.com/track/0JuXDQ85bBXnjekwRpE4D4,0JuXDQ85bBXnjekwRpE4D4,,Yes,Yes,R_8HY1QG4yHOHpN5L,solace
769,Hlava v krupobití,Nerez,https://open.spotify.com/track/0JxTlAkFDajKAQdfUOf88O,0JxTlAkFDajKAQdfUOf88O,"It is excatly abobut being stressed, worried",Yes,Yes,R_2Lp20qjXqfa7pVi,solace
682,Ride,Lana Del Rey,https://open.spotify.com/track/0KKiAjxPRBk8CpqMfdi4ls,0KKiAjxPRBk8CpqMfdi4ls,,Yes,Yes,R_2tck6sPLJviBT1R,mental_work
707,Eminence Front,The Who,https://open.spotify.com/track/0LN5gIsS5tQSmRzQrHSaTR,0LN5gIsS5tQSmRzQrHSaTR,"Uplifting melody, makes me wanna do stuff",Yes,Yes,R_2p9wWWpkx5peG4N,mental_work
119,Cornerstone,Benjamin Clementine,https://open.spotify.com/track/0LsG4XAbOVsx1qOTHtferA,0LsG4XAbOVsx1qOTHtferA,"Sadness is sometimes a feeling to pursue, and it is by far the most powerful, lingering emotion to me",Yes,Yes,R_2oS0VRFGHi3daXX,strong_sensation
82,spectres de mouse,mouse on the keys,https://open.spotify.com/track/0M372WfoAEvYSRjcczirDF,0M372WfoAEvYSRjcczirDF,high tempo and unintuitive rhythm make me feel more energetic,Yes,,R_2U4TKFDTdWQOdSq,revival
557,"Jealousy, jealousy",Olivia Rodrigo,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,0MMyJUC3WNnFS1lit5pTjk,,Yes,Yes,R_2q7KRMeEj2Ki93e,discharge
195,Do you love me,Contours,https://open.spotify.com/track/0MRYsngZv8UGICDehOYuYJ,0MRYsngZv8UGICDehOYuYJ,,Yes,No,R_2TD9GoZ1onZyXu1,revival
38,How Depp Is Your Love,EASY FREAK,https://open.spotify.com/track/0Ni8QSaqPReEogpR3XmDsV,0Ni8QSaqPReEogpR3XmDsV,,Yes,No,R_8eLKaSUgqXjGFkl,entertainment
140,Garden of Eden,Rachel Chinouriri,https://open.spotify.com/track/0NlYeYreqeP6OO5cYG2ALx,0NlYeYreqeP6OO5cYG2ALx,,Yes,No,R_8cbeXQem84K93QF,entertainment
28,Little White Lies,One Direction,https://open.spotify.com/track/0O6VeBiFCwHrpVURJSsGsU,0O6VeBiFCwHrpVURJSsGsU,"It's very nostalgic because I was a huge directioner when I was around 12. So, listening to 1D always brings me back to this time in my life (where everything also felt easier and less stressful) and that makes me happy!",Yes,Yes,R_2HjY4EvYzUqMJtW,entertainment
22,Uncle Ace,Blood Orange,https://open.spotify.com/track/0OnImWGYM4tQUNktj6rOkJ,0OnImWGYM4tQUNktj6rOkJ,The instrumentals in the outro just tickles my brain in the right way,No,No,R_8cbeXQem84K93QF,entertainment
59,Livin' la Vida Loca,Ricky Martin,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,0Ph6L4l8dYUuXFmb71Ajnd,,,,R_2VdoBUAa69ab0h6,entertainment
280,Sabotage,Beastie Boys,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9,0Puj4YlTm6xNzDDADXHMI9,,Yes,Yes,R_2e9qeeiYw9MaePm,strong_sensation
61,vaitimbora,mariana froes,https://open.spotify.com/track/0QAUgW2vTmlUWhbiNeSkWm,0QAUgW2vTmlUWhbiNeSkWm,good beat,Yes,Yes,R_8HY1QG4yHOHpN5L,revival
783,Mad World,Tears For Fears,https://open.spotify.com/track/0Qv7xi6uPSqH2k82tOkGSt,0Qv7xi6uPSqH2k82tOkGSt,The lyrics make me feel understood,Yes,Yes,R_2p9wWWpkx5peG4N,solace
202,reincarnated,Kendrick Lamar,https://open.spotify.com/track/0RgjEkSbeuStKfT2Pa4Zai,0RgjEkSbeuStKfT2Pa4Zai,,Yes,No,R_8VqM9C6HA45xC9p,revival
130,Heaven's Open,Mike Oldfield,https://open.spotify.com/track/0Sx2X6HCtwFWsA932ocG3b,0Sx2X6HCtwFWsA932ocG3b,"Epic melody, have good memories with this song",Yes,Yes,R_2p9wWWpkx5peG4N,entertainment
179,que vuole questa musica stasera,Pepino Gagliardi,https://open.spotify.com/track/0Tv8K30rzuHpcG7GL2iwLE,0Tv8K30rzuHpcG7GL2iwLE,same...,Yes,Yes,R_8HY1QG4yHOHpN5L,diversion
780,Believe,Sleeping At Last,https://open.spotify.com/track/0Ui8brfTyqFr1QZceQxtGP,0Ui8brfTyqFr1QZceQxtGP,,Yes,Yes,R_2VQ2AZgtTitN9SY,solace
268,Not The Time,Sasami,https://open.spotify.com/track/0Vmd1bjR3CAhT86mHs3Mp1,0Vmd1bjR3CAhT86mHs3Mp1,The chords in the song are soothing and the lyrics remind me of having a different perspective and letting things be.,Yes,Yes,R_2wNy3hFkKdHM4D0,solace
692,Alambre pua,Bad bunny,https://open.spotify.com/track/0WDvsKwqhn9alx29Z80DmG,0WDvsKwqhn9alx29Z80DmG,,,,R_8rid6Aiv4sOl6JB,mental_work
191,Teen Age Riot,Sonic Youth,https://open.spotify.com/track/0WIbzDVEpmOyBnqqdtqIL9,0WIbzDVEpmOyBnqqdtqIL9,The song’s energy floods into me,Yes,No,R_8EhUjQrkmBRTASs,revival
273,There is light that never goes out,The Smiths,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,0WQiDwKJclirSYG9v5tayI,,Yes,Yes,R_2zZwYOsilY4jRsz,"[('entertainment', 1), ('solace', 1)]"
29,There is a light that never goes out,The Smiths,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI,0WQiDwKJclirSYG9v5tayI,,Yes,Yes,R_2tck6sPLJviBT1R,"[('entertainment', 1), ('solace', 1)]"
617,Nihilist kite flyer,Loving,https://open.spotify.com/track/0WgwG41CeaJt21sCUHiSIy,0WgwG41CeaJt21sCUHiSIy,Comforting,Yes,No,R_8ZTYiKxXbBb081e,discharge
243,Shell Mask,Tstewart,https://open.spotify.com/track/0ZCJ61UUZ3DbqkMFq2SJdM,0ZCJ61UUZ3DbqkMFq2SJdM,The sadness of the song is in tune with the emotion at that point and relieves it,Yes,No,R_2oS0VRFGHi3daXX,mental_work
131,nuyorican soul,carlos henriquez,https://open.spotify.com/track/0ZDBZpIt3eUJ6LaApLJSiB,0ZDBZpIt3eUJ6LaApLJSiB,,Yes,Yes,R_837aAI9nePo1QDT,entertainment
782,Mirrorball,Taylor Swift,https://open.spotify.com/track/0ZNU020wNYvgW84iljPkPP,0ZNU020wNYvgW84iljPkPP,"In Mirrorball, Taylor Swift delves into what it feels to be this person that must meet the expectations of many, and whenever I am stressed because I feel like I need to meet a certain standard, I feel like Taylor wrote that song about me.",Yes,Yes,R_2HRoAD9L1WNTCiF,solace
163,Stay alive,Jose gonzalez,https://open.spotify.com/track/0ZNYGrmcehorhh9JOeg5Iv,0ZNYGrmcehorhh9JOeg5Iv,,Yes,Yes,R_4lLXShteMUjWgMW,revival
603,Before He Cheats,Carrie Underwood,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,0ZUo4YjG4saFnEJhdWp9Bt,,No,Yes,R_8TFOXwMwo2RtzTg,discharge
698,Mama,My Chemical Romance,https://open.spotify.com/track/0Zh3tKIphLOvQux4dA6PFZ,0Zh3tKIphLOvQux4dA6PFZ,,,,R_2VdoBUAa69ab0h6,mental_work
64,Eddie my love,Brigitte Calls me Baby,https://open.spotify.com/track/0a72BUPrAELsw1l1Sz1oQJ,0a72BUPrAELsw1l1Sz1oQJ,,Yes,No,R_2tck6sPLJviBT1R,entertainment
55,Upside Down,Jack Johnson,https://open.spotify.com/track/0aJrYfARfCKzv6gXjhs4SZ,0aJrYfARfCKzv6gXjhs4SZ,,Yes,Yes,R_2HFaNp6YCRpC6NX,entertainment
18,Tango,Damiano David ,https://open.spotify.com/track/0aKx8FgaSWgTnXeZK6GLD5,0aKx8FgaSWgTnXeZK6GLD5,,Yes,Yes,R_8l46mlZGFZsyKeB,entertainment
69,Wriggle,clipping.,https://open.spotify.com/track/0aqmwF8d8Q9UcOQlPIWWeY,0aqmwF8d8Q9UcOQlPIWWeY,"Its abrasive, fast, crazy and deals with vulgar themes",Yes,Yes,R_2oS0VRFGHi3daXX,revival
140,Busy woman,Sabrina carpenter,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP,0b0Dz0Gi86SVdBxYeiQcCP,,Yes,No,R_8njcwPgqLt1y1n6,"[('diversion', 1), ('revival', 1)]"
179,Busy woman,Sabrina carpenter ,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP,0b0Dz0Gi86SVdBxYeiQcCP,Because its fun,Yes,Yes,R_8G9joOmkzQ63Thf,"[('diversion', 1), ('revival', 1)]"
725,Try not to breathe,R.E.M.,https://open.spotify.com/track/0bPg0OA0ep90qVCYfymwO6,0bPg0OA0ep90qVCYfymwO6,,Yes,Yes,R_263ifr5Fzi1g7g5,mental_work
451,Skipping Stones,TOMORROW X TOGETHER,https://open.spotify.com/track/0bPy1iMfSOO2pevpXLhnoG,0bPy1iMfSOO2pevpXLhnoG,This song relativizes difficult situations for me.,,,R_88HQeKMOYExgqkB,diversion
105,HE IS MINE,クリープハイプ,https://open.spotify.com/track/0bQcCm1gmBavM1NYBxPvbe,0bQcCm1gmBavM1NYBxPvbe,,Yes,No,R_8eLKaSUgqXjGFkl,strong_sensation
487,All I want for Christmas is you,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,What better distraction than thinking about Christmas?,Yes,Yes,R_2HRoAD9L1WNTCiF,"[('diversion', 1), ('revival', 1)]"
170,All I want for christmas is you,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,"Banger, nostalgic",Yes,No,R_2HFaNp6YCRpC6NX,"[('diversion', 1), ('revival', 1)]"
228,Two Weeks Ago,Maisie Peters,https://open.spotify.com/track/0bnUDXvwi2s8924tLTDg3K,0bnUDXvwi2s8924tLTDg3K,To really feel my emotions,Yes,Yes,R_2HjY4EvYzUqMJtW,mental_work
68,Illegal,"PinkPantheress, Nia Archives remix",https://open.spotify.com/track/0c1s95bO4ZqOOmFl8mfsro,0c1s95bO4ZqOOmFl8mfsro,,Yes,No,R_8WCkweb3sC0gYTf,revival
493,The Hit,aleksiah,https://open.spotify.com/track/0cDf1WMAJW9CUubbp6Fb3d,0cDf1WMAJW9CUubbp6Fb3d,,Yes,No,R_8pJG7O16rICvdio,diversion
214,Dial drunk,Noah Kahan,https://open.spotify.com/track/0caJ2wkqp4UmXBwdR2JvB5,0caJ2wkqp4UmXBwdR2JvB5,This song is highly emotional and makes me cry which helps me feel like the stress is gone,No,Yes,R_2oEDEWFXn3Qfhnk,discharge
92,Feel Good Inc.,Gorillaz,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT,,,,R_2VdoBUAa69ab0h6,entertainment
97,LoveGame,Lady gaga,https://open.spotify.com/track/0eH2eHURaXUP15D8gQlfjx,0eH2eHURaXUP15D8gQlfjx,,Yes,Yes,R_2zZwYOsilY4jRsz,revival
131,objects in the mirror,a-ha,https://open.spotify.com/track/0eu3ysdbO6um0Y1LF0ZWbu,0eu3ysdbO6um0Y1LF0ZWbu,,Yes,Yes,R_8HY1QG4yHOHpN5L,strong_sensation
63,Same damn time ,Future,https://open.spotify.com/track/0evYh0thMGFGri2roKou3I,0evYh0thMGFGri2roKou3I,,Yes,Yes,R_8njcwPgqLt1y1n6,"[('discharge', 1), ('revival', 1)]"
186,Same damn time,Future,https://open.spotify.com/track/0evYh0thMGFGri2roKou3I,0evYh0thMGFGri2roKou3I,,Yes,Yes,R_8njcwPgqLt1y1n6,"[('discharge', 1), ('revival', 1)]"
678,Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,https://open.spotify.com/track/0f0SbtoKGe41cX5LzlnX6X,0f0SbtoKGe41cX5LzlnX6X,I can relate to it,,,R_88HQeKMOYExgqkB,mental_work
645,New magicwand,Tyler the creator,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf,0fv2KH6hac06J86hBUTcSf,,,,R_8rid6Aiv4sOl6JB,mental_work
710,Paint the town blue,"Ashnikko, Arcane",https://open.spotify.com/track/0g0qfC3nAaIsfbxS29ksJx,0g0qfC3nAaIsfbxS29ksJx,,Yes,No,R_28Tf4yRm44ixc8J,mental_work
145,Continuo Atardecer,LATIN MAFIA,https://open.spotify.com/track/0gELGDQ3XTZUdFQ6GAyCkA,0gELGDQ3XTZUdFQ6GAyCkA,,Yes,No,R_8PsV7EzuWKsJiKd,entertainment
689,Linger,The cranberrys,https://open.spotify.com/track/0gEyKnHvgkrkBM6fbeHdwK,0gEyKnHvgkrkBM6fbeHdwK,Bangerrrr,,,R_8ZTYiKxXbBb081e,"[('diversion', 1), ('mental_work', 1)]"
436,Linger,The Cranberries,https://open.spotify.com/track/0gEyKnHvgkrkBM6fbeHdwK,0gEyKnHvgkrkBM6fbeHdwK,,Yes,No,R_2q7KRMeEj2Ki93e,"[('diversion', 1), ('mental_work', 1)]"
519,Hate you,Seann Bowe,https://open.spotify.com/track/0gUhnWWNlD191Eef1lBI4k,0gUhnWWNlD191Eef1lBI4k,,Yes,No,R_2TD9GoZ1onZyXu1,discharge
657,The Crystal Ship,The Doors,https://open.spotify.com/track/0gWvVB4bGvADocoPMEDy3K,0gWvVB4bGvADocoPMEDy3K,,Yes,Yes,R_2tck6sPLJviBT1R,mental_work
115,Risk,Gracie Abrams,https://open.spotify.com/track/0gZGUAO42F1HmzZWHNPGAu,0gZGUAO42F1HmzZWHNPGAu,,Yes,Yes,R_8TFOXwMwo2RtzTg,entertainment
726,Bel Air,Lana del Rey,https://open.spotify.com/track/0gfuDrRdS5fQ28WDI9kdy9,0gfuDrRdS5fQ28WDI9kdy9,"The ethereal rhythm of the song helps me process any sort of mental stress I am going through at the moment, as soon as the song starts playing I start feeling relaxed and calm.",Yes,Yes,R_2HRoAD9L1WNTCiF,mental_work
207,Whole Lotta Love,Led Zepplin,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8,0hCB0YR03f6AmQaHbwWDe8,,Yes,No,R_263ifr5Fzi1g7g5,revival
18,overnight,parcels,https://open.spotify.com/track/0hhXziDUO0wNYPsstDQWN6,0hhXziDUO0wNYPsstDQWN6,,Yes,Yes,R_80YBLNTS9lnLPqc,entertainment
11,Mrs. Robinson ,Simon & Garfunkel ,https://open.spotify.com/track/0iOZM63lendWRTTeKhZBSC,0iOZM63lendWRTTeKhZBSC,,No,Yes,R_20rEsSW9Ovvo74J,entertainment
145,I wish it would never stop snowing,Sleepy Fish,https://open.spotify.com/track/0jDYc3XRkTaEi5zycl5E1G,0jDYc3XRkTaEi5zycl5E1G,It's very repetitive and relaxing (same applies for other songs in this category),Yes,There are no lyrics,R_8ffCN43Rw9foEIC,diversion
74,Praying,Kesha,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,0jdny0dhgjUwoIp5GkqEaA,,Yes,No,R_8njcwPgqLt1y1n6,revival
717,My angel,Adrienne lenker,https://open.spotify.com/track/0jpEKGcoyt7oNpgI9S9cbA,0jpEKGcoyt7oNpgI9S9cbA,Mauw sad song,,,R_8ZTYiKxXbBb081e,mental_work
241,Moon Plate,缺省,https://open.spotify.com/track/0k4t4wNx40CtGOYYJwmzm5,0k4t4wNx40CtGOYYJwmzm5,"The song gives me a feeling of ascending or floating around, so it gives me the space to focus on certain things",Yes,No,R_2wNy3hFkKdHM4D0,mental_work
604,Title,Meghan Trainor,https://open.spotify.com/track/0k5hoseEJnCAbpRh38dNoI,0k5hoseEJnCAbpRh38dNoI,,Yes,Yes,R_2HFaNp6YCRpC6NX,discharge
204,Hayloft II,Mother mother,https://open.spotify.com/track/0kYMwaQWABTkFff8AZjmYI,0kYMwaQWABTkFff8AZjmYI,,Yes,No,R_8XnyWMaJIcOY96C,discharge
667,The Leanover,Life Without Buildings,https://open.spotify.com/track/0lE2Jl13AfiAONJKrrXDxD,0lE2Jl13AfiAONJKrrXDxD,"Dreamy vibes, makes me forget about the world",Yes,No,R_2p9wWWpkx5peG4N,mental_work
382,Because the night,Patti Smith,https://open.spotify.com/track/0lIoY4ZQsdn5QzhraM9o9u,0lIoY4ZQsdn5QzhraM9o9u,,Yes,Yes,R_2q7KRMeEj2Ki93e,strong_sensation
511,G.O.A.T.,Polyphia,https://open.spotify.com/track/0maCwhZTO3PybhSiQcsjAf,0maCwhZTO3PybhSiQcsjAf,,,,R_2966KcW8r5Hwja9,discharge
242,Stick Season,Noah Kahan,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,0mflMxspEfB0VbI1kyLiAv,,Yes,Yes,R_2HFaNp6YCRpC6NX,revival
122,Smooth,Santana,https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW,0n2SEXB2qoRQg171q7XqeW,,Yes,No,R_8PsV7EzuWKsJiKd,entertainment
